MODEL_RUN_ID,FEATURE_NAME,POSITIVE_COUNT,TOTAL_ROWS,POSITIVE_RATE_PERCENT
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_major_depressive_disorder,138694,1250233,11.093452181
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_59,117883,1250233,9.428882456
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_sensory_deafness_and_hearing_impairment,91622,1250233,7.328393987
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_New York,69470,1250233,5.556564256
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_dementia,64458,1250233,5.155678981
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_erectile_dysfunction,43227,1250233,3.457515519
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Georgia,32651,1250233,2.611593199
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Tennessee,27031,1250233,2.162076989
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Missouri,23900,1250233,1.91164367
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_alzheimer_disease,23801,1250233,1.903725146
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_leukemias_and_lymphomas,20717,1250233,1.657051126
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_51,19281,1250233,1.542192535
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_86,19199,1250233,1.535633758
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Oklahoma,18405,1250233,1.472125596
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_asthma,86156,1250233,6.891195481
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_79,29016,1250233,2.320847394
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_schizophrenia_and_other_psychotic_disorders,26281,1250233,2.102088171
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_10,21517,1250233,1.721039198
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_type_1_diabetes_mellitus,16522,1250233,1.32151367
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Nevada,10665,1250233,0.8530409932
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_West Virginia,8586,1250233,0.6867519894
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_depressive_disorders,185962,1250233,14.874187451
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_19,128927,1250233,10.312237799
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Florida,87018,1250233,6.960142629
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_135,50719,1250233,4.056763819
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_migraine_and_chronic_headache,49081,1250233,3.925748241
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_23,47516,1250233,3.800571573
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,race_unknown,43017,1250233,3.44071865
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_84,42247,1250233,3.37913013
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_47,28138,1250233,2.250620484
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_epilepsy_and_seizure_disorders,24137,1250233,1.930600136
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_21,21530,1250233,1.722079004
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_176,20460,1250233,1.636494957
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Minnesota,17284,1250233,1.382462309
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_112,15208,1250233,1.216413261
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_33,14297,1250233,1.143546843
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_169,13285,1250233,1.062601931
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Connecticut,11735,1250233,0.9386250403
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_39,10042,1250233,0.8032102816
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_viral_hepatitis_general,9508,1250233,0.7604982431
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_New Hampshire,8214,1250233,0.6569975357
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_cancer_endometrial,6574,1250233,0.5258219868
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_27,4608,1250233,0.3685712983
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_17,4504,1250233,0.3602528489
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_186,4286,1250233,0.3428160991
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Vermont,4190,1250233,0.3351375304
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_58,3621,1250233,0.2896260137
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_learning_disabilities,3097,1250233,0.2477138261
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_34,2398,1250233,0.1918042477
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_104,2035,1250233,0.1627696597
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_invasive_pneumococcal_disease,332,1250233,0.02655505014
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_type_2_diabetes_mellitus,293190,1250233,23.450828766
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_108,167008,1250233,13.358150041
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_pneumonia_all_cause,62094,1250233,4.966594227
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_North Carolina,39135,1250233,3.130216528
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Massachusetts,34934,1250233,2.794199161
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Maryland,31064,1250233,2.48465686
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Washington,29875,1250233,2.389554587
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,race_asian,27742,1250233,2.218946388
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Indiana,27251,1250233,2.179673709
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_2,26938,1250233,2.154638375
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_deep_vein_thrombosis_of_extremities_or_central_veins,22591,1250233,1.806943186
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_alcohol_use_disorders,20891,1250233,1.670968531
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_8,15952,1250233,1.275922168
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_post_traumatic_stress_disorder_ptsd,14358,1250233,1.148425933
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_opioid_use_disorder,13902,1250233,1.111952732
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Colorado,18084,1250233,1.446450382
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Utah,7996,1250233,0.6395607859
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_hepatitis_d,191,1250233,0.01527715234
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_48,67807,1250233,5.42354905
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_88,36916,1250233,2.952729611
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_abdominal_aortic_aneurysm,16496,1250233,1.319434057
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Mississippi,15128,1250233,1.210014453
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_herpes_simplex_infection,13407,1250233,1.072360112
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_137,13033,1250233,1.042445688
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_cystic_fibrosis_and_other_metabolic_developmental_disorders,12833,1250233,1.02644867
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_adhd_conduct_disorders_and_hyperkinetic_syndrome,12754,1250233,1.020129848
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_35,11874,1250233,0.9497429679
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_hip_fracture,10878,1250233,0.8700778175
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_170,10733,1250233,0.8584799793
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Nebraska,9740,1250233,0.7790547842
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_72,9534,1250233,0.7625778555
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_cancer_urologic_kidney_renal_pelvis_and_ureter,9155,1250233,0.7322635061
